,"""sup-Wheat tjj dd""","""sup-Citrus tjj dd""","""Sup- Rice tjj dd""","""sup-Apple tjj dd""","""sup-Sorgum tjdd""","""Sup-grainmaize Tjdd""","""Sup-tomato tjdd""","""sup-Rapeseed tjdd""",supply of tomato tj,supply of apple Tj,supply of Rice Tj,supply of citrus Tj,spply of wheat Tj,supply of rapeseed Tj,supply of rice zr,supply of citrus zr,supply of rapeseed zr,supply of wheat,supply of apple,supply of tomato,supply of grainmaize,supply of chickpea,supply of rice,supply of rapeseed,supply of citrus
14.0,0.0,0.0,0.0,0.0,0.0004782400000000001,0.00010318000000000001,6.108518e-06,0.0,9.126000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0004782400000000001,0.00010318000000000001,6.108518e-06,0.0,9.126000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0004782400000000001,0.00010318000000000001,6.108518e-06,0.0,9.126000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0004782400000000001,0.00010318000000000001,6.108518e-06,0.0,9.126000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0004782400000000001,0.00010318000000000001,6.108518e-06,0.0,9.126000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0004782400000000001,0.00010318000000000001,6.108518e-06,0.0,9.126000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0004782400000000001,0.00010318000000000001,6.108518e-06,0.0,9.126000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.00018799180400000002,0.0,0.0,0.0,0.00015372,3.3165e-05,2.584373e-06,0.0,3.8610000000000005e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.00018799180400000002,0.0,0.0,0.0,0.00015372,3.3165e-05,2.584373e-06,0.0,3.8610000000000005e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.00018799180400000002,0.0,0.0,0.0,0.00015372,3.3165e-05,2.584373e-06,0.0,3.8610000000000005e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
